,0,1,2,3,4,target
0,0.06667981812732549,0.06668018325649477,0.06668008418725528,0.7332805663870082,0.06667934804191618,1
1,0.05000939038403561,0.05000965115166054,0.05000958039769319,0.7999623233978433,0.0500090546687673,1
2,0.8666479417806107,0.033338127029222946,0.033338091899613134,0.03333800842309727,0.03333783086745608,1
3,0.0666795873338801,0.06667994603300174,0.7332817236682452,0.06667961744041978,0.06667912552445318,1
4,0.04000732881159292,0.04000753241502647,0.040007477170520174,0.8399705949005652,0.04000706670229526,1
5,0.050009760187251555,0.05054451129170054,0.050009957444857006,0.05000978290895664,0.7994259881672342,1
6,0.02860820146570402,0.8847900847342695,0.028837089738266857,0.02902299855255493,0.02874162550920492,1
7,0.2,0.2,0.2,0.2,0.2,1
8,0.04000719560029218,0.04000739512967865,0.8397051106570643,0.04000721234721065,0.040273086265754404,1
9,0.05000915793509208,0.7999634889996541,0.050009343225291755,0.05000917927750626,0.050008830562455836,1
10,0.7975891964445373,0.05062420195485163,0.05061871904141348,0.051084110045177065,0.05008377251402058,1
11,0.016844378389352058,0.01668648672776428,0.9329647216049829,0.016769690422644284,0.01673472285525641,1
12,0.05000976138747109,0.05001003250592459,0.05000995894310256,0.05000978414251859,0.7999604630209831,1
13,0.06667949262135778,0.7332821985907896,0.06667975207353624,0.06667952250646667,0.06667903420784976,1
14,0.033338229856509874,0.03383644075371989,0.8661490320296042,0.033338242279858814,0.033338055080307176,1
15,0.10002361281857991,0.10002426878135184,0.10002409080027833,0.10002366787599838,0.5999043597237915,0
16,0.2,0.2,0.2,0.2,0.2,0
17,0.10002271488964729,0.10002334581908333,0.1000231746307839,0.599908862042206,0.10002190261827944,0
18,0.10002361281858002,0.1000242687813506,0.1000240908002765,0.10002366787599613,0.5999043597237967,0
19,0.2,0.2,0.2,0.2,0.2,0
20,0.2,0.2,0.2,0.2,0.2,0
21,0.2,0.2,0.2,0.2,0.2,0
22,0.10002361281857677,0.10002426878134774,0.1000240908002737,0.1000236678759943,0.5999043597238074,0
23,0.10002271488964602,0.10002334581908205,0.10002317463078399,0.5999088620422073,0.10002190261828059,0
24,0.2,0.2,0.2,0.2,0.2,0
25,0.2,0.2,0.2,0.2,0.2,0
26,0.2,0.2,0.2,0.2,0.2,0
27,0.2,0.2,0.2,0.2,0.2,0
28,0.2,0.2,0.2,0.2,0.2,0
29,0.2,0.2,0.2,0.2,0.2,0
30,0.2,0.2,0.2,0.2,0.2,0
31,0.10434290541109012,0.10002318926727112,0.5955895344287095,0.10002261516647658,0.10002175572645268,1
32,0.7999622136253772,0.050009673653548074,0.050009602733880554,0.05000943421297244,0.05000907577422168,0
